episode,mode,food_collected,distance_traveled,episode_length_seconds,steps,reward
1,heuristic,2,1551.1150373240032,60.01500000000027,3550,4.4888496267599685
2,heuristic,1,756.3616580010553,59.719000000000364,3600,2.436383419989447
3,heuristic,0,330.4487080113586,59.493000000000286,3600,-3.304487080113586
